customer_id,tenure,contract,monthly_charges,total_charges,num_products,support_calls,complaints,auto_pay,age,is_active,churn
CUST-00076,7,one-year,61.67,431.99,3,0,1,0,36,1,1
CUST-00077,26,two-year,52.31,1306.07,1,1,2,1,37,1,0
CUST-00078,28,two-year,52.03,1459.89,1,0,2,0,36,1,0
CUST-00079,9,month-to-month,44.81,376.53,1,4,1,1,37,1,1
CUST-00080,11,one-year,87.81,923.89,4,0,0,0,26,1,0
CUST-00081,67,two-year,56.1,3754.22,1,0,0,0,41,1,0
CUST-00082,27,month-to-month,95.01,2536.6,3,3,1,0,39,1,1
CUST-00083,40,two-year,65.21,2639.94,2,0,0,1,33,1,0
CUST-00084,13,month-to-month,74.18,892.16,2,1,1,1,47,1,0
CUST-00085,20,two-year,57.25,1075.36,2,1,2,1,48,1,0
CUST-00086,15,one-year,89.3,1239.49,3,0,0,1,36,1,0
CUST-00087,4,month-to-month,61.76,232.5,1,3,1,0,42,1,1
CUST-00088,46,one-year,70.58,2988.48,1,1,0,0,77,1,0
CUST-00089,13,month-to-month,79.84,1012.45,2,0,2,1,76,1,0
CUST-00090,40,one-year,65.6,2566.57,1,0,0,1,29,1,0
CUST-00091,15,one-year,53.23,792.36,1,0,1,0,31,1,1
CUST-00092,25,one-year,59.41,1429.32,1,1,2,1,29,1,0
CUST-00093,29,two-year,74.14,1978.81,1,0,0,1,60,1,0
CUST-00094,4,month-to-month,43.26,172.02,1,1,0,1,39,1,1
CUST-00095,45,month-to-month,43.69,1820.51,1,2,1,1,48,1,0
CUST-00096,10,month-to-month,82.27,835.27,3,2,0,0,74,1,1
CUST-00097,5,month-to-month,62.48,288.19,1,0,0,1,44,1,1
CUST-00098,23,month-to-month,76.17,1713.99,4,4,2,1,55,1,1
CUST-00099,14,month-to-month,89.65,1278.25,4,5,1,1,52,1,1
CUST-00100,19,month-to-month,53.31,995.64,1,3,2,0,36,1,1
CUST-00101,16,month-to-month,27.12,428.25,2,1,1,0,60,1,0
CUST-00102,13,two-year,63.05,815.53,2,1,0,0,32,1,0
CUST-00103,7,month-to-month,64.17,419.3,2,0,1,1,65,1,1
CUST-00104,18,two-year,52.11,932.58,1,1,3,0,36,1,0
CUST-00105,28,month-to-month,80.49,2291.67,1,3,2,1,37,1,1
CUST-00106,15,month-to-month,33.12,510.3,1,0,1,1,28,1,0
CUST-00107,21,month-to-month,52.16,1061.11,2,2,2,0,31,1,1
CUST-00108,11,month-to-month,43.98,463.41,4,2,0,0,38,1,0
CUST-00109,22,month-to-month,58.34,1287.16,2,3,2,1,18,1,1
CUST-00110,13,month-to-month,59.88,762.65,2,2,0,0,41,1,1
CUST-00111,12,month-to-month,81.82,931.08,4,1,1,0,37,1,1
CUST-00112,17,month-to-month,86.94,1387.73,2,2,1,1,56,1,0
CUST-00113,21,one-year,70.49,1389.59,1,0,0,1,51,1,0
CUST-00114,67,month-to-month,80.4,5227.94,3,3,1,1,34,1,0
CUST-00115,19,two-year,48.33,861.99,1,1,2,1,38,1,1
CUST-00116,3,month-to-month,73.47,203.26,1,1,0,1,41,1,0
CUST-00117,30,two-year,66.64,1850.72,2,0,0,1,67,0,0
CUST-00118,13,one-year,76.27,1013.61,4,4,2,0,32,0,0
CUST-00119,13,two-year,24.11,290.87,1,0,1,0,34,1,0
CUST-00120,17,two-year,59.06,931.78,2,2,1,1,28,1,0
CUST-00121,58,month-to-month,68.58,3856.84,1,4,1,1,22,1,1
CUST-00122,6,month-to-month,95.98,545.34,1,1,1,1,49,1,0
CUST-00123,2,month-to-month,56.11,115.13,1,1,0,1,48,1,1
CUST-00124,67,two-year,53.22,3637.8,2,1,2,1,64,1,0
CUST-00125,10,one-year,57.67,556.24,3,0,1,0,60,1,0
CUST-00126,72,month-to-month,64.94,4532.42,1,2,1,1,80,1,0
CUST-00127,23,two-year,23.24,513.81,1,0,0,0,43,1,0
CUST-00128,45,month-to-month,64.91,2699.44,1,2,2,0,41,1,0
CUST-00129,17,one-year,69.72,1128.6,1,0,0,0,25,1,0
CUST-00130,25,one-year,74.85,1746.8,2,1,1,0,55,1,0
CUST-00131,13,month-to-month,63.05,763.31,2,1,0,0,46,1,0
CUST-00132,17,one-year,77.17,1287.88,2,2,0,1,54,1,0
CUST-00133,29,two-year,58.08,1567.87,1,0,0,1,27,1,0
CUST-00134,21,month-to-month,52.99,1036.37,2,2,0,0,50,1,0
CUST-00135,16,month-to-month,88.31,1374.61,1,3,2,1,48,1,0
CUST-00136,15,month-to-month,48.67,707.16,1,1,1,1,47,1,1
CUST-00137,13,one-year,104.96,1275.98,4,1,1,0,34,1,0
CUST-00138,13,month-to-month,35.46,424.33,3,0,0,0,62,1,0
CUST-00139,53,two-year,101.98,5087.28,3,1,1,1,75,1,0
CUST-00140,19,two-year,105.44,1895.07,3,0,1,1,28,1,0
CUST-00141,18,month-to-month,67.54,1225.48,2,1,0,0,55,1,0
CUST-00142,33,month-to-month,89.06,2999.81,3,0,0,0,18,1,0
CUST-00143,26,one-year,65.05,1631.52,1,1,1,0,55,1,1
CUST-00144,33,one-year,43.43,1382.39,1,1,1,0,18,1,0
CUST-00145,5,month-to-month,64.85,323.72,1,2,0,0,37,1,0
CUST-00146,18,month-to-month,40.44,719.88,1,1,1,1,25,1,0
CUST-00147,11,month-to-month,44.04,455.5,1,1,0,0,41,1,1
CUST-00148,24,two-year,75.28,1683.58,1,2,0,1,57,1,0
CUST-00149,39,month-to-month,84.54,3192.01,2,1,1,1,18,1,0
CUST-00150,24,two-year,66.29,1562.53,3,0,0,1,39,1,1
CUST-00151,18,month-to-month,53.8,905.7,2,3,4,0,37,1,1
CUST-00152,14,two-year,43.38,578.33,1,0,1,0,68,1,0
CUST-00153,45,month-to-month,80.19,3441.31,2,1,0,1,51,0,0
CUST-00154,27,month-to-month,37.0,947.79,1,3,0,0,27,1,0
CUST-00155,26,two-year,61.42,1550.1,1,2,1,1,37,1,1
CUST-00156,23,two-year,68.44,1561.27,1,0,0,1,68,1,0
CUST-00157,22,month-to-month,53.41,1146.86,1,0,0,0,55,1,0
CUST-00158,33,month-to-month,73.18,2275.26,1,1,0,0,31,1,1
CUST-00159,45,month-to-month,73.52,3081.19,3,0,0,0,40,1,0
CUST-00160,26,month-to-month,75.15,1974.23,3,1,1,1,41,1,1
CUST-00161,15,month-to-month,49.41,720.93,2,0,0,0,36,0,0
CUST-00162,41,two-year,73.31,2785.8,1,2,1,1,19,1,0
CUST-00163,26,month-to-month,65.2,1607.72,3,1,1,1,34,1,1
CUST-00164,20,one-year,73.3,1478.38,2,1,0,1,65,1,0
CUST-00165,25,month-to-month,53.72,1346.61,1,4,2,0,39,1,1
CUST-00166,25,month-to-month,48.05,1220.88,2,0,1,0,43,1,0
CUST-00167,19,one-year,56.04,1050.1,2,1,1,0,47,1,1
CUST-00168,9,month-to-month,79.89,694.94,1,2,0,1,78,0,1
CUST-00169,28,one-year,58.63,1587.35,1,0,0,0,45,1,0
CUST-00170,6,month-to-month,48.84,275.85,2,1,0,1,61,1,1
CUST-00171,16,two-year,60.5,959.86,1,2,0,1,36,1,0
CUST-00172,23,one-year,52.37,1185.67,1,1,2,0,41,1,1
CUST-00173,35,two-year,117.17,3842.73,1,1,0,1,45,1,1
CUST-00174,18,month-to-month,96.13,1760.49,4,2,1,0,33,1,0
CUST-00175,20,month-to-month,48.15,924.99,1,2,0,0,41,1,0
CUST-00176,22,month-to-month,80.56,1640.23,1,4,0,1,58,0,1
CUST-00177,39,month-to-month,21.86,815.09,1,2,2,0,32,1,1
CUST-00178,27,month-to-month,80.7,2213.07,3,0,0,1,45,1,0
CUST-00179,26,month-to-month,102.9,2731.22,2,2,1,0,55,1,0
CUST-00180,17,month-to-month,76.91,1273.4,3,2,1,1,32,1,1
CUST-00181,18,month-to-month,23.8,439.19,1,4,3,0,61,1,1
CUST-00182,13,month-to-month,47.87,632.44,1,1,1,1,46,1,1
CUST-00183,19,month-to-month,93.18,1789.5,2,2,0,0,42,1,1
CUST-00184,5,month-to-month,61.77,313.35,1,1,0,1,18,1,0
CUST-00185,44,one-year,63.9,2704.78,3,1,1,1,39,1,0
CUST-00186,7,month-to-month,66.67,468.19,3,2,2,1,50,1,0
CUST-00187,27,month-to-month,56.93,1511.76,2,2,0,1,71,1,0
CUST-00188,36,month-to-month,97.5,3507.07,4,3,1,0,53,1,0
CUST-00189,32,one-year,91.09,2738.69,2,1,0,1,61,1,1
CUST-00190,61,month-to-month,73.94,4512.38,1,3,0,0,26,1,0
CUST-00191,6,one-year,75.21,462.69,2,0,0,1,43,1,1
CUST-00192,22,two-year,31.03,650.77,1,1,0,1,63,1,0
CUST-00193,35,month-to-month,55.1,1983.42,3,3,0,0,31,1,0
CUST-00194,16,two-year,64.6,993.93,1,0,0,1,59,1,0
CUST-00195,12,one-year,30.78,347.93,1,1,1,0,55,1,0
CUST-00196,21,month-to-month,62.94,1232.33,2,0,0,1,49,1,1
CUST-00197,15,month-to-month,60.47,912.81,1,1,0,0,40,1,0
CUST-00198,25,one-year,34.52,846.63,1,1,0,1,30,1,0
CUST-00199,28,two-year,48.56,1296.84,2,0,0,0,71,1,0
CUST-00200,17,month-to-month,53.31,894.42,1,1,0,1,54,1,0
CUST-00201,8,month-to-month,76.07,582.11,2,2,1,0,50,1,1
CUST-00202,22,one-year,74.11,1580.4,1,0,0,0,38,1,0
CUST-00203,10,month-to-month,65.93,669.12,1,1,2,0,45,1,1
CUST-00204,17,one-year,56.33,951.38,1,0,0,0,47,1,0
CUST-00205,26,month-to-month,65.57,1711.41,3,3,0,1,50,1,0
CUST-00206,9,one-year,71.72,635.27,4,0,0,0,56,1,0
CUST-00207,12,two-year,45.8,565.57,1,1,0,1,33,1,0
CUST-00208,30,one-year,98.38,2793.66,4,0,0,0,23,1,0
CUST-00209,22,one-year,73.06,1525.11,2,1,0,1,46,1,0
CUST-00210,41,one-year,29.2,1113.61,2,1,0,0,18,1,0
CUST-00211,19,two-year,52.86,985.2,2,0,0,1,40,1,0
CUST-00212,25,two-year,88.68,2189.22,2,1,2,1,37,0,1
CUST-00213,16,month-to-month,80.43,1286.69,3,1,1,0,52,1,1
CUST-00214,14,one-year,41.49,555.82,2,0,0,1,74,1,0
CUST-00215,6,month-to-month,109.4,604.77,2,2,2,0,18,1,1
CUST-00216,38,two-year,54.48,2048.6,1,1,0,1,79,1,0
CUST-00217,8,one-year,61.92,510.15,1,0,1,1,41,1,0
CUST-00218,5,month-to-month,74.19,353.29,2,1,0,1,50,1,0
CUST-00219,13,month-to-month,48.38,591.35,1,3,3,1,23,1,1
CUST-00220,28,month-to-month,41.9,1115.71,1,3,1,1,59,1,0
CUST-00221,14,one-year,93.19,1261.34,1,1,1,0,45,1,1
CUST-00222,8,month-to-month,73.06,553.85,1,2,1,0,44,1,1
CUST-00223,12,month-to-month,81.79,940.42,2,5,0,1,18,1,0
CUST-00224,31,two-year,77.37,2374.97,2,1,1,1,46,1,0
CUST-00225,16,one-year,36.94,566.19,1,0,0,1,57,0,0
CUST-00226,31,month-to-month,78.0,2329.9,1,1,1,0,41,1,0
CUST-00227,32,month-to-month,39.82,1177.91,1,3,0,0,62,1,1
CUST-00228,25,two-year,60.1,1534.01,1,1,0,1,61,1,0
CUST-00229,56,one-year,37.49,2025.45,2,2,0,0,35,1,0
CUST-00230,20,one-year,30.26,578.63,2,0,1,0,68,1,0
CUST-00231,31,month-to-month,72.73,2095.71,2,1,0,0,45,1,0
CUST-00232,19,month-to-month,52.44,986.16,2,1,0,1,45,0,1
CUST-00233,18,month-to-month,55.19,1008.34,4,0,0,1,46,1,0
CUST-00234,8,one-year,88.73,656.27,3,0,0,1,46,1,0
CUST-00235,5,month-to-month,105.16,492.14,2,0,0,1,18,1,0
CUST-00236,11,month-to-month,92.01,947.44,2,1,1,0,42,1,0
CUST-00237,36,one-year,50.37,1788.39,1,1,0,0,24,1,0
CUST-00238,31,two-year,91.16,2886.25,4,0,0,1,69,1,0
CUST-00239,16,one-year,70.98,1099.51,1,0,0,1,68,1,1
CUST-00240,23,month-to-month,75.2,1656.64,1,1,0,1,57,1,0
CUST-00241,31,month-to-month,84.82,2640.58,4,1,0,1,41,1,0
CUST-00242,15,month-to-month,67.62,1016.01,2,1,0,1,29,1,0
CUST-00243,17,month-to-month,60.41,972.69,1,2,0,1,35,1,0
CUST-00244,16,month-to-month,64.97,974.75,1,2,1,1,74,1,0
CUST-00245,14,month-to-month,52.6,706.47,1,0,1,1,34,1,0
CUST-00246,12,one-year,64.84,782.22,2,0,0,0,18,1,0
CUST-00247,19,two-year,79.84,1511.59,1,0,0,1,60,1,0
CUST-00248,35,two-year,112.77,3920.28,4,2,0,1,67,1,0
CUST-00249,31,month-to-month,99.59,3121.98,4,0,0,1,69,1,0
CUST-00250,11,month-to-month,97.94,1023.99,2,2,1,1,60,1,0
CUST-00251,11,month-to-month,60.04,632.28,2,3,2,0,63,1,1
CUST-00252,2,month-to-month,84.21,155.73,1,0,1,0,45,1,1
CUST-00253,1,month-to-month,64.77,65.78,1,3,2,1,18,1,1
CUST-00254,37,month-to-month,125.88,4583.35,2,1,0,0,45,1,0
CUST-00255,13,one-year,33.54,415.44,1,0,0,1,54,1,0
CUST-00256,64,month-to-month,42.59,2528.51,1,1,0,0,42,1,0
CUST-00257,21,two-year,62.54,1312.78,1,0,0,1,42,1,0
CUST-00258,3,month-to-month,62.15,186.89,1,0,0,0,30,1,1
CUST-00259,16,month-to-month,90.1,1431.91,1,2,1,0,29,1,0
CUST-00260,26,month-to-month,54.97,1346.92,2,3,0,0,72,1,0
CUST-00261,24,month-to-month,95.29,2333.74,3,3,1,0,73,1,0
CUST-00262,28,month-to-month,87.92,2468.77,2,1,1,0,44,1,0
CUST-00263,18,two-year,91.68,1637.62,3,1,0,1,49,1,0
CUST-00264,36,month-to-month,37.7,1345.8,1,2,1,1,30,1,0
CUST-00265,37,month-to-month,104.34,3935.78,3,2,1,0,54,1,0
CUST-00266,44,one-year,89.13,4008.44,2,1,0,0,71,1,1
CUST-00267,18,month-to-month,65.79,1167.07,1,1,2,0,22,1,1
CUST-00268,16,one-year,94.68,1463.12,4,0,0,1,51,1,0
CUST-00269,10,month-to-month,59.07,567.08,1,1,1,1,53,1,0
CUST-00270,15,two-year,53.58,811.82,1,0,1,0,52,0,1
CUST-00271,9,month-to-month,66.53,593.33,1,1,0,1,69,1,0
CUST-00272,0,month-to-month,55.56,0.0,1,3,0,0,75,1,0
CUST-00273,7,one-year,39.73,260.21,1,1,0,1,41,1,1
CUST-00274,30,two-year,48.13,1471.36,2,0,0,1,55,1,0
CUST-00275,12,month-to-month,65.46,799.11,3,4,1,1,46,0,1
CUST-00276,22,one-year,59.0,1330.06,1,0,0,0,35,0,0
CUST-00277,24,month-to-month,66.51,1543.67,2,3,0,0,49,1,0
CUST-00278,19,month-to-month,58.88,1125.71,1,1,0,1,55,1,0
CUST-00279,18,month-to-month,88.01,1601.77,3,2,1,1,48,1,0
CUST-00280,19,one-year,43.71,792.89,1,2,0,1,31,1,1
CUST-00281,7,month-to-month,81.38,533.19,1,2,3,0,38,1,1
CUST-00282,9,one-year,62.18,576.23,2,1,0,0,38,0,0
CUST-00283,9,month-to-month,59.2,491.95,2,0,1,0,32,1,1
CUST-00284,26,two-year,87.68,2247.1,3,0,1,1,49,1,0
CUST-00285,27,two-year,33.94,908.61,2,1,0,1,51,1,0
CUST-00286,28,month-to-month,64.77,1804.49,3,5,3,0,59,1,1
CUST-00287,13,month-to-month,72.66,895.57,1,1,1,1,32,1,0
CUST-00288,22,month-to-month,23.73,521.73,1,1,1,0,36,1,1
CUST-00289,15,two-year,75.12,1063.48,1,0,1,1,68,1,0
CUST-00290,18,month-to-month,82.2,1496.16,1,1,1,1,42,0,1
CUST-00291,17,month-to-month,48.35,776.01,1,0,0,1,45,1,0
CUST-00292,36,month-to-month,72.25,2592.25,2,2,3,0,42,1,1
CUST-00293,17,one-year,75.14,1285.27,1,1,1,0,61,1,0
CUST-00294,11,month-to-month,58.6,606.43,2,2,1,0,62,1,0
CUST-00295,24,month-to-month,82.62,1876.16,2,1,1,1,61,1,0
CUST-00296,17,two-year,54.92,938.96,2,1,0,1,45,1,0
CUST-00297,17,month-to-month,58.4,922.77,2,1,0,0,31,1,0
CUST-00298,16,two-year,40.61,611.41,1,0,0,0,73,1,0
CUST-00299,47,month-to-month,61.17,2789.05,1,0,0,1,57,1,0
CUST-00300,10,month-to-month,87.84,898.01,2,0,0,1,38,1,0
CUST-00301,16,two-year,63.69,1000.5,2,0,1,1,66,1,0
CUST-00302,14,one-year,32.12,432.88,1,0,0,1,36,1,0
CUST-00303,22,one-year,35.51,802.8,1,1,3,0,66,1,0
CUST-00304,21,month-to-month,74.1,1510.99,2,2,4,0,67,1,1
CUST-00305,35,month-to-month,100.19,3393.42,2,2,4,1,31,1,1
CUST-00306,8,month-to-month,62.09,479.47,1,1,0,1,53,1,0
CUST-00307,25,month-to-month,48.04,1146.16,1,3,4,0,56,1,1
CUST-00308,2,month-to-month,92.79,177.38,3,0,1,0,84,1,0
CUST-00309,5,month-to-month,50.69,252.35,1,3,1,0,33,1,1
CUST-00310,3,month-to-month,72.19,200.22,3,4,1,1,66,1,0
CUST-00311,7,month-to-month,37.75,262.93,1,2,1,1,45,1,0
CUST-00312,24,month-to-month,92.35,2088.14,2,2,0,0,26,1,0
CUST-00313,8,month-to-month,15.0,115.47,1,2,2,0,43,1,1
CUST-00314,22,two-year,69.36,1428.44,1,1,1,1,45,1,1
CUST-00315,23,one-year,70.65,1593.76,3,0,0,1,29,1,0
CUST-00316,21,month-to-month,59.61,1252.1,2,1,0,0,49,1,0
CUST-00317,15,one-year,121.46,1747.22,4,1,1,1,59,1,0
CUST-00318,17,two-year,42.15,672.11,1,0,0,0,48,1,0
CUST-00319,42,month-to-month,66.76,2649.47,3,3,4,0,36,1,1
CUST-00320,10,month-to-month,76.65,774.16,3,2,0,1,42,1,1
CUST-00321,11,month-to-month,74.45,777.55,2,3,0,1,44,1,0
CUST-00322,12,month-to-month,47.05,567.55,1,1,1,1,48,1,1
CUST-00323,27,one-year,38.67,998.6,2,0,0,1,61,1,0
CUST-00324,15,two-year,51.42,725.61,2,1,2,1,49,1,0
CUST-00325,53,month-to-month,114.06,6045.2,4,3,0,1,23,1,0
CUST-00326,16,one-year,56.35,875.94,1,1,0,0,36,1,0
CUST-00327,23,month-to-month,63.12,1340.61,1,1,0,1,47,1,0
CUST-00328,9,one-year,50.29,464.19,1,0,1,0,61,1,1
CUST-00329,21,one-year,55.13,1083.93,2,0,0,0,64,1,0
CUST-00330,48,month-to-month,121.2,5578.35,4,0,0,0,71,1,0
CUST-00331,43,month-to-month,51.61,2135.63,1,1,0,1,46,1,0
CUST-00332,27,one-year,59.02,1551.85,2,1,0,1,56,1,0
CUST-00333,18,two-year,98.73,1788.51,3,0,0,1,23,1,1
CUST-00334,33,month-to-month,42.0,1276.05,1,4,3,1,51,1,0
CUST-00335,2,month-to-month,44.29,90.58,1,2,1,0,28,0,0
CUST-00336,6,month-to-month,67.18,399.48,2,3,0,1,44,1,0
CUST-00337,19,one-year,67.0,1304.28,2,1,2,1,88,1,0
CUST-00338,7,one-year,59.67,421.83,1,1,0,0,49,1,1
CUST-00339,14,one-year,116.65,1669.13,3,0,1,1,32,1,0
CUST-00340,31,one-year,73.05,2233.1,2,0,0,1,51,1,0
CUST-00341,20,two-year,36.2,694.54,3,3,0,1,37,1,0
CUST-00342,38,two-year,84.87,3124.18,3,2,1,1,30,0,0
CUST-00343,63,month-to-month,79.68,4981.61,3,1,0,0,76,1,0
CUST-00344,24,one-year,67.78,1572.98,2,0,0,0,61,1,0
CUST-00345,26,month-to-month,59.43,1545.93,1,1,1,0,50,1,1
CUST-00346,34,month-to-month,66.48,2102.33,2,4,3,0,39,1,1
CUST-00347,22,two-year,54.05,1202.54,1,0,0,1,40,1,0
CUST-00348,31,one-year,78.03,2279.75,2,0,0,1,68,1,0
CUST-00349,22,two-year,45.24,1019.0,1,0,0,1,49,1,0
CUST-00350,18,month-to-month,49.94,842.39,2,1,0,1,18,0,0
CUST-00351,29,month-to-month,109.43,2964.68,1,0,0,1,81,1,0
CUST-00352,7,month-to-month,42.11,297.51,1,1,0,0,47,0,1
CUST-00353,0,month-to-month,56.8,0.0,1,0,0,0,50,0,1
CUST-00354,6,month-to-month,40.08,240.78,2,1,2,1,61,1,0
CUST-00355,32,month-to-month,81.1,2661.79,3,1,1,1,51,1,0
CUST-00356,5,month-to-month,38.2,181.4,1,0,0,1,56,1,0
CUST-00357,42,two-year,71.04,3016.3,3,1,1,1,38,1,0
CUST-00358,6,month-to-month,97.81,562.64,3,2,0,1,26,0,1
CUST-00359,12,month-to-month,63.5,746.08,1,1,0,1,49,1,1
CUST-00360,19,one-year,77.23,1421.91,2,1,0,1,66,0,1
CUST-00361,5,month-to-month,23.12,106.43,1,2,1,0,35,1,0
CUST-00362,24,two-year,88.06,2077.91,1,0,0,0,34,1,0
CUST-00363,8,one-year,45.55,365.21,2,1,0,0,63,1,0
CUST-00364,11,month-to-month,82.51,852.43,1,4,1,1,38,1,1
CUST-00365,18,one-year,97.39,1792.43,3,1,2,1,38,1,0
CUST-00366,6,one-year,89.39,524.72,3,1,1,1,39,1,0
CUST-00367,11,one-year,63.61,657.45,3,0,0,0,44,1,0
CUST-00368,30,two-year,69.73,2073.19,2,0,0,0,21,1,1
CUST-00369,10,one-year,58.52,550.74,2,0,0,0,36,1,0
CUST-00370,25,one-year,91.52,2120.95,4,0,2,0,48,1,1
CUST-00371,22,month-to-month,50.5,1105.87,1,1,0,1,48,1,0
CUST-00372,23,one-year,18.31,392.57,1,2,1,1,62,1,0
CUST-00373,37,two-year,87.19,3005.64,2,1,0,1,72,1,0
CUST-00374,7,one-year,53.54,375.3,1,0,3,1,67,1,1
CUST-00375,34,one-year,46.27,1456.88,1,0,0,0,58,1,0
CUST-00376,5,month-to-month,44.91,226.59,1,4,2,1,42,1,1
CUST-00377,21,one-year,73.45,1554.14,2,1,0,1,35,1,0
CUST-00378,59,two-year,38.91,2147.74,1,1,0,1,45,1,0
